bd_rep_id,sales_rep_id,total_opps,total_open,total_closed_won,total_closed_lost,total_decided,win_rate_pct,early_death_rate_pct,stale_rate_pct,avg_deal_size,bd_avg_win_rate_pct,bd_avg_early_death_rate_pct,bd_avg_stale_rate_pct,bd_avg_deal_size,win_rate_deviation_pct,early_death_deviation_pct,stale_rate_deviation_pct,deal_size_deviation_pct,win_rate_weighted_score,early_death_weighted_score,stale_pipeline_weighted_score,deal_size_weighted_score,total_weighted_score,confidence_multiplier,final_performance_score,performance_classification,percentile_75th,percentile_50th,percentile_25th,percentile_10th,strength_high_win_rate,strength_low_early_death,strength_low_stale,strength_high_deal_size,concern_low_win_rate,concern_high_early_death,concern_high_stale,concern_low_deal_size,total_strengths,total_concerns
BD_001,SR_001,9,0,9,0,9,100.0,0.0,0.0,30624.460000000003,51.94805194805194,56.75675675675676,0.0,46526.73387323944,92.50000000000004,-100.0,0.0,-34.17878829957129,23.12500000000001,25.0,-0.0,-8.544697074892822,39.58030292510719,1.0,39.58030292510719,High Performer,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,True,True,False,False,False,False,False,True,2,1
BD_001,SR_002,4,0,0,4,4,0.0,0.0,0.0,74443.71,51.94805194805194,56.75675675675676,0.0,46526.73387323944,-100.0,-100.0,0.0,60.002011322822405,-25.0,25.0,-0.0,15.000502830705601,15.000502830705601,0.5714285714285714,8.571715903260342,Average,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,False,True,False,True,True,False,False,False,2,1
BD_001,SR_003,5,5,0,0,0,0.0,0.0,0.0,34508.62,51.94805194805194,56.75675675675676,0.0,46526.73387323944,-100.0,-100.0,0.0,-25.830555624175965,-25.0,25.0,-0.0,-6.457638906043991,-6.457638906043991,0.7142857142857143,-4.612599218602851,Below Average,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,False,True,False,False,True,False,False,True,1,2
BD_001,SR_004,4,0,0,4,4,0.0,0.0,0.0,88603.08,51.94805194805194,56.75675675675676,0.0,46526.73387323944,-100.0,-100.0,0.0,90.43477292301712,-25.0,25.0,-0.0,22.60869323075428,22.60869323075428,0.5714285714285714,12.91925327471673,Average,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,False,True,False,True,True,False,False,False,2,1
BD_001,SR_005,7,0,7,0,7,100.0,0.0,0.0,25624.53,51.94805194805194,56.75675675675676,0.0,46526.73387323944,92.50000000000004,-100.0,0.0,-44.92514761553391,23.12500000000001,25.0,-0.0,-11.231286903883477,36.893713096116535,1.0,36.893713096116535,Above Average,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,True,True,False,False,False,False,False,True,2,1
BD_001,SR_006,9,9,0,0,0,0.0,0.0,0.0,71347.37,51.94805194805194,56.75675675675676,0.0,46526.73387323944,-100.0,-100.0,0.0,53.34704171237029,-25.0,25.0,-0.0,13.336760428092573,13.336760428092573,1.0,13.336760428092573,Average,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,False,True,False,True,True,False,False,False,2,1
BD_001,SR_007,2,0,2,0,2,100.0,0.0,0.0,37656.53,51.94805194805194,56.75675675675676,0.0,46526.73387323944,92.50000000000004,-100.0,0.0,-19.064746511986023,23.12500000000001,25.0,-0.0,-4.766186627996506,43.35881337200351,0.2857142857142857,12.388232392001003,Insufficient Data,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,True,True,False,False,False,False,False,False,2,0
BD_001,SR_008,10,10,0,0,0,0.0,0.0,0.0,49951.38,51.94805194805194,56.75675675675676,0.0,46526.73387323944,-100.0,-100.0,0.0,7.360598610018274,-25.0,25.0,-0.0,1.8401496525045684,1.8401496525045684,1.0,1.8401496525045684,Average,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,False,True,False,False,True,False,False,False,1,1
BD_001,SR_009,6,6,0,0,0,0.0,0.0,0.0,125446.47000000002,51.94805194805194,56.75675675675676,0.0,46526.73387323944,-100.0,-100.0,0.0,169.62234302062726,-25.0,25.0,-0.0,42.405585755156814,42.405585755156814,0.8571428571428571,36.34764493299155,Above Average,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,False,True,False,True,True,False,False,False,2,1
BD_001,SR_010,8,0,0,8,8,0.0,100.0,0.0,28495.66,51.94805194805194,56.75675675675676,0.0,46526.73387323944,-100.0,76.19047619047619,0.0,-38.75422229801152,-25.0,-19.047619047619047,-0.0,-9.68855557450288,-53.73617462212193,1.0,-53.73617462212193,At-Risk,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,False,False,False,False,True,True,False,True,0,3
BD_001,SR_011,7,0,0,7,7,0.0,0.0,0.0,31724.84,51.94805194805194,56.75675675675676,0.0,46526.73387323944,-100.0,-100.0,0.0,-31.81373941606714,-25.0,25.0,-0.0,-7.953434854016785,-7.953434854016785,1.0,-7.953434854016785,Below Average,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,False,True,False,False,True,False,False,True,1,2
BD_001,SR_012,1,0,0,1,1,0.0,0.0,0.0,69911.72,51.94805194805194,56.75675675675676,0.0,46526.73387323944,-100.0,-100.0,0.0,50.26139636294307,-25.0,25.0,-0.0,12.565349090735767,12.565349090735767,0.14285714285714285,1.7950498701051094,Insufficient Data,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,False,True,False,True,True,False,False,False,2,1
BD_001,SR_013,10,10,0,0,0,0.0,0.0,0.0,54510.94,51.94805194805194,56.75675675675676,0.0,46526.73387323944,-100.0,-100.0,0.0,17.160469824753392,-25.0,25.0,-0.0,4.290117456188348,4.290117456188348,1.0,4.290117456188348,Average,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,False,True,False,False,True,False,False,False,1,1
BD_001,SR_014,5,5,0,0,0,0.0,0.0,0.0,36426.97,51.94805194805194,56.75675675675676,0.0,46526.73387323944,-100.0,-100.0,0.0,-21.70744222183296,-25.0,25.0,-0.0,-5.42686055545824,-5.42686055545824,0.7142857142857143,-3.876328968184457,Average,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,False,True,False,False,True,False,False,True,1,2
BD_001,SR_015,5,5,0,0,0,0.0,0.0,0.0,44355.92,51.94805194805194,56.75675675675676,0.0,46526.73387323944,-100.0,-100.0,0.0,-4.665734498264476,-25.0,25.0,-0.0,-1.166433624566119,-1.166433624566119,0.7142857142857143,-0.8331668746900851,Average,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,False,True,False,False,True,False,False,False,1,1
BD_001,SR_016,6,0,6,0,6,100.0,0.0,0.0,34828.48,51.94805194805194,56.75675675675676,0.0,46526.73387323944,92.50000000000004,-100.0,0.0,-25.14307990135508,23.12500000000001,25.0,-0.0,-6.28576997533877,41.83923002466125,0.8571428571428571,35.862197163995354,Above Average,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,True,True,False,False,False,False,False,True,2,1
BD_001,SR_017,2,2,0,0,0,0.0,0.0,0.0,32905.76,51.94805194805194,56.75675675675676,0.0,46526.73387323944,-100.0,-100.0,0.0,-29.27558575323454,-25.0,25.0,-0.0,-7.318896438308635,-7.318896438308635,0.2857142857142857,-2.0911132680881814,Insufficient Data,38.499491377022395,15.5537017590758,-4.0216391638378335,-51.63388562843327,False,True,False,False,True,False,False,True,1,2
